Author;Title;Url;Date;Language;Notes;Section
Amelung;Collaborative work in NFDI;https://zenodo.org/record/8296725;2023-08-29;en;NFDI e.V., NFDI e.V., Text+, NFDI4Earth, NFDI4Ing, NFDI4Ing, PUNCH4NFDI, NFDI4Health, KonsortSWD, NFDI4Plants, BERD@NFDI, NFDI e.V., NFDI4Chem, NFDI4Earth, NFDI4DataScience, NFDI4Microbiota, NFDI4Microbiota, NFDIxCS, NFDI e.V., NFDI4Cat, NFDI4Bioersity, NFDI4Chem, NFDI4Health, NFDI4Ing, MaRDI, NFDI4Culture, DAPHNE4NFDI;-evaluation
Anders;"Charta der Arbeitsgruppe ""Terminology Services""";https://zenodo.org/record/6759325;2022-06-27;en;NFDI4Cat, NFDI4Objects, NFDI4Memory, GHGA, Text+, NFDI4BioDiversity, FAIRmat, NFDI4Ing, NFDI4Ing, NFDI4Ing, NFDI4Health, NFDI4Health, NFDI4Health, NFDI4Culture, NFDI4Culture, NFDI4Culture, NFDI4Culture, NFDI4Earth, NFDI4Earth;-metadata
Baum;Integration von Terminologiediensten in Wissensdomänen der NFDI;https://rgdoi.net/10.13140/RG.2.2.12778.59845;2023;de;Base4NFDI, TS4NFDI;-metadata
Schimmler;Base4NFDI - Basic Services for NFDI: Creating NFDI-Wide Basic Services in a World of Specific Domains;https://www.tib-op.org/ojs/index.php/CoRDI/article/view/336;2023-09-07;en;NFDI4Health, NFDI4Culture, Base4NFDI, NFDI4Microbiota, PUNCH4NFDI, Base4NFDI, Base4NFDI, Base4NFDI, Base4NFDI, KonsortSWD, Base4NFDI, KonsortSWD, Base4NFDI, Base4NFDI, NFDI4Ing, Base4NFDI, Base4NFDI, NFDI4Earth, Base4NFDI, NFDI4Culture, Base4NFDI, NFDI4DataScience, NFDI4Cat;-infra
Amelung;White Paper: Umgang mit Zielen der BLV als Grundlage für die Strukturevaluation;https://zenodo.org/doi/10.5281/zenodo.10101443;2023-11-10;de;NFDI e.V., NFDI e.V., Text+, NFDI4Earth, NFDI4Ing, NFDI4Ing, PUNCH4NFDI, NFDI4Health, NFDI4Culture, Base4NFDI, KonsortSWD, NFDI4Plants, BERD@NFDI, NFDI e.V., NFDI4Chem, NFDI4Earth, NFDI4DataScience, NFDI4Microbiota, NFDI4Microbiota, NFDIxCS, NFDI e.V., NFDI4Cat, NFDI4BioDiversity, NFDI4Chem, NFDI4Health, NFDI4Ing, MaRDI, NFDI4Culture, DAPHNE4NFDI;-evaluation
Limani;"Who is using Knowledge Graphs in NFDI? An overview by the Working Group ""Knowledge Graphs""";https://zenodo.org/record/8332776;2023-09-10;en;Additional Member, Additional Member, NFDI4Microbiota, NFDI4DataScience, NFDI4Culture, NFDI4DataScience, NFDI4Cat, NFDI4Earth, BERD@NFDI, BERD@NFDI, BERD@NFDI;-metadata
Rossenova;The Case for a Common, Reusable Knowledge Graph Infrastructure for NFDI;https://www.tib-op.org/ojs/index.php/CoRDI/article/view/266;2023-09-07;en;NFDI4Culture, MaRDI, BERD@NFDI;-metadata
Shigapov;Dataset: an overview of knowledge graphs in NFDI;https://zenodo.org/record/8124286;2023-07-07;en;Additional Member, Additional Member, BERD@NFDI, NFDI4Culture, NFDI4DataScience, NFDI4DataScience, NFDI4Cat, NFDI4Earth, BERD@NFDI, BERD@NFDI;-metadata
Amelung;White Paper: Interim Report Reference;https://zenodo.org/doi/10.5281/zenodo.10101412;2023-11-10;en;NFDI e.V., NFDI e.V., NFDI4BioDiversity, Text+, NFDI4Earth, NFDI4Ing, PUNCH4NFDI, PUNCH4NFDI, NFDI4DataScience, NFDI4Cat, NFDI4Chem, NFDI4Culture, KonsortSWD, NFDI4Plants, BERD@NFDI, NFDI e.V., NFDI4Health, NFDI4Chem, NFDI4Earth, NFDI4Microbiota, NFDI e.V., NFDI4Cat, NFDI4Bioersity, NFDI4Ing, NFDI4Ing, DAPHNE4NFDI;-evaluation
Rossenova;The case for a common, reusable Knowledge Graph Infrastructure for NFDI;https://zenodo.org/record/8342570;2023-09-14;en;MaRDI, NFDI4Culture, BERD@NFDI;-metadata
Baum;Leveraging Terminology Services for FAIR Semantic Data Integration across NFDI Domains - How to Integrate Terminology Services Into Other Service Applications;https://zenodo.org/record/8342678;2023-09-14;en;NFDI4Chem, TS4NFDI;-metadata
Stahl;Collaboration Models Between Industry and Academia;https://zenodo.org/doi/10.5281/zenodo.10473579;2024-01-09;en;BERD@NFDI, BERD@NFDI, Additional Member, Additional Member;-industry
Stoilova;Stellungnahme zur öffentlichen Konsultation zum Forschungsdatengesetz;https://www.nfdi.de/wp-content/uploads/2023/05/NFDI-Stellungnahme-zum-Forschungsdatengesetz.pdf;2023-03;de;NFDI4Culture, BERD@NFDI;-ELSA
Stahl;Sektionskonzept Industry Engagement zur Einrichtung einer Sektion im Verein Nationale Forschungsdateninfrastruktur (NFDI) e.V.;https://zenodo.org/record/7900079;2023-05-05;de;BERD@NFDI, BERD@NFDI;-industry
Herres-Pawlis;Sektionskonzept Training & Education zur Einrichtung einer Sektion im Verein Nationale Forschungsdateninfrastruktur (NFDI) e.V.;https://zenodo.org/record/6475541;2022-04-21;de;NFDI4Health, NFDI4Health, NFDI e.V., KonsortSWD, NFDI4Culture, NFDI4Culture, NFDI4Cat, NFDI4Cat, NFDI4Ing, NFDI4Ing, NFDI4Chem, NFDI4Ing, NFDI4Ing, NFDI4Chem, NFDI4Chem;-edutrain
Arndt;"Charta der Arbeitsgruppe ""Cookbooks, Guidance, and Best Practices""";https://zenodo.org/record/6758256;2022-06-27;en;Base4NFDI, KonsortSWD, KonsortSWD, Additional Member, NFDI MatWerk, NFDI4Earth, NFDI4Earth, NFDI4Culture, NFDI4Culture, Text+, Text+, NFDI4Cat, NFDI4Cat, NFDI4Chem, NFDI4Chem, NFDI4Phys, NFDI4Ing, NFDI4Ing, NFDI4Ing, NFDI4Ing, NFDI4Ing;-metadata
Stocker;"Charta der Arbeitsgruppe ""Knowledge Graphs""";https://zenodo.org/record/7802304;2023-04-05;en;NFDI4Chem, MaRDI, NFDI4BioDiversity, DAPNE4NFDI, BERND@NFDI, NFDI4DataScience, KonsortSWD, BERD@NFDI, NFDI4Culture, NFDI4DataScience;-metadata
Anders;"Charta der Arbeitsgruppe ""Ontology Harmonization and Mapping""";https://zenodo.org/record/6726519;2022-06-24;en;NFDI e.V., Text+, NFDI4Cat, NFDI4Cat, NFDI4Cat, NFDI4Cat, NFDI4Cat, NFDI4BioDiversity, FAIRmat, NFDI4Immuno, NFDI4Culture, NFDI4Culture, KonsortSWD, KonsortSWD, NFDI4Health, NFDI4Phys, NFDI4Phys, NFDI4Ing, NFDI4Ing, NFDI4Ing, NFDI4Objects, NFDI4Earth, NFDI4Earth, NFDI4Earth, NFDI4Earth;-metadata
Castro;"Charta der Arbeitsgruppe ""Research Software Metadata""";https://zenodo.org/doi/10.5281/zenodo.10246218;2023-12-01;en;ExCMoA, NFDI4Ing, MaRDI, NFDI4Ing, NFDI4Ing, NFDI4Ing, NFDI4Energy, NFDI4DataScience;-metadata
Mathiak;"Charta der Arbeitsgruppe ""Search and Harvesting""";https://zenodo.org/record/6770763;2022-06-28;en;Base4NFDI, Text+, NFDI4DataScience, BERD@NFDI, KonsortSWD, NFDI4Earth, NFDI4Phys, FAIRMat, NFDI4Earth, KonsortSWD;-metadata
Ritter;"Charta of the Working Group  ""Infrastructure and Data Security"" (IDS) in the NFDI Section ""Common Infrastructures""";https://zenodo.org/records/7903969;2023-05-07;en;NFDI4Health;-infra
Pempe;"Concept for Setting up a Working Group in the NFDI Section ""Common Infrastructures""";https://zenodo.org/record/6421866;2022-03-29;en;NFDI-MatWerk, 2linkNFDI, FDN-Verein, NFDI4Ing;-infra
Hammitzsch;Concept for Setting up a Working Group Research Software Engineering in the NFDI Section Common Infrastructures;https://zenodo.org/record/6483449;2022-04-25;en;NFDI e.V., NFDI-MatWerk, NFDI4Ing, deRSE e.V., Text+, NFDI4Microbiota, NFDI4Ing, NFDI4Immuno, Additional Member;-infra
Bach;"Concept for Setting up an LTA Working Group in the NFDI Section ""Common Infrastructures""";https://zenodo.org/record/6451456;2022-04-12;en;Text+, NFDI4Ing, NFDI4Memory, NFDI4Objects, NFDI4Earth, NFDI4BioDiversity, Text+, NFDI4BioDiversity, 2linkNFDI, NFDI4Culture, NFDI4Chem;-infra
Bingert;"Concept for Setting up the Persistent Identifier Services Working Group in the NFDI Section ""Common Infrastructures""";https://zenodo.org/record/6507760;2022-04-30;en;Additional Member, Additional Member, Additional Member, NFDI4Ing, NFDI4Culture, NFDI4Chem, NFDI4Ing, Text+, NFDI4BioDiversity;-infra
Enke;Data management planning: Concept for Setting up a Working Group in the NFDI Section Common Infrastructures;https://zenodo.org/record/7540682;2023-01-16;en;NFDI4Culture, NFDI4Earth, NFDI4Ing, NFDI4Ing, NFDI4Ing, NFDI4Ing, NFDI4Chem, PUNCH4NFDI;-infra
Bleier;Data Science & AI: Concept for Setting up a Working Group in the NFDI Section Common Infrastructures;https://zenodo.org/record/6498197;2022-04-27;en;NFDI4DataScience, NFDI4DataScience;-infra
Seeger;NFDI Data Integration;https://zenodo.org/record/6519590;2022-05-04;en;Additional Member, Additional Member, Text+, NFDI4BioDiversity;-infra
Dieckmann;NFDI Multi Cloud Concept;https://zenodo.org/record/6510971;2022-05-02;en;Base4NFDI, Additional Member, NFDI4Microbiota, PUNCH4NFDI, PUNCH4NFDI, NFDI4Microbiota, Additional Member, NFDI4BioDiversity;-infra
Boehm;"Sektionskonzept ""Ethical, Legal &amp; Social Aspects"" (section-ELSA)";https://zenodo.org/record/5675972;2021-11-05;de;DataPlant, Additional Member, NFDI4Health, NFDI4Health, NFDI4Health, NFDI4Health, NFDI4Culture, NFDI4Culture, NFDI4Culture, NFDI4Chem;-ELSA
Diepenbroek;Sektionskonzept Common Infrastructures zur Einrichtung einer Sektion im Verein Nationale Forschungsdateninfrastruktur (NFDI) e.V.;https://zenodo.org/record/5607490;2021-10-28;de;Base4NFDI, NFDI4Cat, NFDI4BioDiversity, NFDI4DataScience, NFDI4BioDiversity;-infra
Koepler;Sektionskonzept Meta(daten), Terminologien und Provenienz zur Einrichtung einer Sektion im Verein Nationale Forschungsdateninfrastruktur (NFDI) e.V.;https://zenodo.org/record/5619089;2021-10-29;de;NFDI4Ing, NFDI4Ing, NFDI4Ing, NFDI4Ing, NFDI4Culture, NFDI4Culture, NFDI4Culture, NFDI4Chem, NFDI4Chem, NFDI4Chem;-metadata
Blask;Working Group Charter Certificate Infrastructures;https://zenodo.org/record/6478706;2022-04-22;en;NFDI4Chem, NFDI4Ing, NFDI4BioDiversity, NFDI4Chem, NFDI4Earth, NFDI4Microbiota, NFDI4Ing, FAIRagro, NFDI4Microbiota, NFDI4Health, Zertifikatkurs FDM in NRW, KonsortSWD, KonsortSWD, KonsortSWD;-edutrain
Jung;Working Group Charter Electronic Lab Notebooks;https://zenodo.org/record/6510247;2022-04-27;en;NFDI4Microbiota, NFDI4Cat, DAPHNE4NFDI, NFDI4Phys, NFDI4Earth, NFDI4Culture, NFDI4Chem, NFDI4Chem, NFDI4Chem, FAIRmat;-infra
Herres-Pawlis;Working Group Charter Error Management and No Blame Culture;https://zenodo.org/record/6475492;2022-04-21;en;Base4NFDI, MaRDI, Additional Member, DataPlant, KonsortSWD, NFDI4Chem, NFDI4Chem, NFDI4Chem, NFDI4Chem, NFDI4Phys, NFDI4Chem, NFDI4Chem, NFDI4Chem;-edutrain
Pelz;Working Group Charter Training Infrastructures;https://zenodo.org/record/6478698;2022-04-22;en;Data Train, NFDI4Chem, NFDI4Culture, NFDI4BioDiversity, NFDI4Microbiota, NFDI4Chem, KonsortSWD, NFDI4Earth, NFDI4Microbiota, NFDI4Microbiota, NFDI4Microbiota, NFDI4Health, NFDI4BioDiversity, NFDI4Cat, NFDI4Cat, PUNCH4NFDI, NFDI4Chem, NFDI4Chem, NFDI4Ing, NFDI4Ing, NFDI4Ing, NFDI4Ing;-edutrain
